label,n_pos,n_neg,logit_separation,logit_mean_pos,logit_mean_neg,proba_mean_pos,proba_mean_neg,proba_std_pos,proba_std_neg,proba_overlap
Colère,290,491,2.3827,-6.0682,-8.4509,0.2351,0.1015,0.3918,0.2717,0.8056
Dégoût,80,701,1.7176,-9.099,-10.8166,0.0077,0.0018,0.0167,0.0064,0.9285
Joie,30,751,6.8075,-2.8416,-9.6492,0.3496,0.0136,0.4564,0.1022,0.58
Peur,4,777,10.1811,0.7271,-9.454,0.5031,0.0096,0.4968,0.0787,0.5039
Surprise,5,776,6.3364,-3.0559,-9.3922,0.3983,0.0054,0.4819,0.0604,0.6026
Tristesse,14,767,4.7862,-4.8359,-9.6221,0.1492,0.0243,0.3398,0.1386,0.7378
Admiration,0,781,,,,,,,,
Culpabilité,3,778,1.3511,-11.0665,-12.4176,0.0035,0.0009,0.0049,0.0045,0.9871
Embarras,2,779,13.8895,1.9923,-11.8972,0.8566,0.0246,0.0839,0.1274,0.0013
Fierté,3,778,14.2742,2.6965,-11.5777,0.9332,0.0038,0.0227,0.0433,0.0
Jalousie,6,775,1.5853,-12.2872,-13.8725,0.0001,0.0001,0.0002,0.0006,1.0
Autre,62,719,1.0126,-5.4956,-6.5082,0.1543,0.1277,0.3122,0.2951,0.8335
Comportementale,36,745,4.7393,-4.5192,-9.2585,0.233,0.0172,0.3495,0.1091,0.5627
Désignée,55,726,5.8392,-3.801,-9.6402,0.3117,0.0335,0.409,0.1642,0.5645
Montrée,301,480,2.0271,-6.3309,-8.358,0.2272,0.107,0.3895,0.2794,0.8204
Suggérée,54,727,1.8927,-5.8688,-7.7615,0.0921,0.0209,0.2255,0.094,0.7561
Emo,399,382,4.2377,-1.3938,-5.6315,0.477,0.1839,0.474,0.3667,0.6657
Base,364,417,3.1674,-4.3421,-7.5095,0.2925,0.0849,0.4203,0.2496,0.7298
Complexe,14,767,6.965,-3.1238,-10.0888,0.3771,0.0284,0.4462,0.1487,0.5117
